loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,1,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,title,zip_code,addr_state,dti,open_acc,revol_bal,revol_util,total_acc,application_type,tot_cur_bal,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
12000,12000, 36 months,5.32%,361.38,A,A1,A/P Specialist,9 years,MORTGAGE,96000,Source Verified,Issued,debt_consolidation,Debt consolidation,366xx,AL,19.46,13,33700,43%,29,INDIVIDUAL,268798,4,22400,0,333836,80536,54000,60436
12000,12000, 36 months,11.49%,395.66,B,B5,A/P Supervisor,10+ years,MORTGAGE,100000,Source Verified,Issued,other,Other,945xx,CA,3.66,9,3560,40.90%,19,INDIVIDUAL,518763,1,64845,0,534900,16916,5300,15000
28000,28000, 36 months,8.24%,880.53,B,B1,A/P/payroll specialist,4 years,RENT,130000,Source Verified,Issued,credit_card,Credit card refinancing,088xx,NJ,17.24,18,41585,89%,23,INDIVIDUAL,327034,5,18169,0,414515,109264,45500,108561
20000,20000, 36 months,7.99%,626.64,A,A5,A/R,10+ years,MORTGAGE,75000,Not Verified,Issued,debt_consolidation,Debt consolidation,064xx,CT,19.38,19,15284,18.20%,33,INDIVIDUAL,180513,4,9501,0,313625,22054,53100,20725
5500,5500, 36 months,11.49%,181.35,B,B5,A/R,n/a,RENT,44000,Verified,Issued,credit_card,Credit card refinancing,480xx,MI,8.07,6,5767,20.60%,9,INDIVIDUAL,10253,3,1709,0,35000,10253,19000,7000
16000,16000, 36 months,16.99%,570.37,D,D1,A/R & Payment Specialist,3 years,RENT,45000,Verified,Issued,debt_consolidation,Debt consolidation,917xx,CA,10.88,11,7757,29.70%,13,INDIVIDUAL,15652,7,1423,0,35319,15652,9300,9219
14400,14400, 36 months,13.49%,488.6,C,C2,A/R 1,4 years,MORTGAGE,117000,Not Verified,Issued,debt_consolidation,Debt consolidation,334xx,FL,12.79,32,19262,35.50%,58,INDIVIDUAL,318067,8,10260,0,350232,123692,40500,88631
10000,10000, 36 months,5.32%,301.15,A,A1,A/R Account Representative ,10+ years,MORTGAGE,54000,Not Verified,Issued,home_improvement,Home improvement,770xx,TX,12.31,13,12534,23.50%,27,INDIVIDUAL,153623,2,11817,0,210545,25896,38600,21478
7200,7200, 36 months,11.49%,237.4,B,B5,A/R Administrator,3 years,RENT,43000,Source Verified,Issued,credit_card,Credit card refinancing,290xx,SC,29.44,12,12152,83.20%,14,INDIVIDUAL,86492,1,7863,0,96318,86492,12800,81718
6000,6000, 36 months,14.99%,207.97,C,C4,A/R BOOKKEEPER,10+ years,OWN,30000,Verified,Issued,debt_consolidation,Debt consolidation,747xx,OK,25,10,9204,63%,33,INDIVIDUAL,13622,2,1514,0,30960,13622,9000,16360
24000,24000, 60 months,11.49%,527.71,B,B5,A/R Collections Specialist,8 years,MORTGAGE,76000,Not Verified,Issued,debt_consolidation,Debt consolidation,601xx,IL,10.42,11,14471,18.50%,18,INDIVIDUAL,155275,1,14116,0,227268,28557,68700,20343
32000,32000, 60 months,13.49%,736.16,C,C2,A/R LEAD ,10+ years,MORTGAGE,20000,Verified,Issued,debt_consolidation,Debt consolidation,144xx,NY,68.91,14,13121,53.60%,28,JOINT,27932,4,2328,0,66979,27932,11300,42479
25000,25000, 36 months,10.49%,812.45,B,B2,A/R Manager,2 years,MORTGAGE,95000,Not Verified,Issued,debt_consolidation,Debt consolidation,627xx,IL,7.35,13,25197,42.30%,34,INDIVIDUAL,66209,3,5093,0,103800,25197,51000,0
3600,3600, 36 months,8.24%,113.21,B,B1,A/R Manager,3 years,RENT,102000,Source Verified,Issued,debt_consolidation,Debt consolidation,787xx,TX,12.08,9,9523,54.10%,19,INDIVIDUAL,38891,2,4321,0,65095,38891,8100,47495
15000,15000, 36 months,15.99%,527.29,C,C5,A/R OEM,n/a,MORTGAGE,50000,Verified,Issued,debt_consolidation,Debt consolidation,841xx,AZ,12.19,9,7671,32.20%,18,INDIVIDUAL,127723,6,15965,0,153063,20134,11000,17135
12000,12000, 60 months,14.99%,285.42,C,C4,A/R Rep,5 years,RENT,78000,Not Verified,Issued,debt_consolidation,Debt consolidation,930xx,CA,5.52,13,9465,43.40%,19,INDIVIDUAL,9465,6,789,0,21800,9465,2700,0
6000,6000, 36 months,13.49%,203.59,C,C2,A/R Specialist,3 years,RENT,40000,Source Verified,Issued,major_purchase,Major purchase,601xx,IL,12.84,7,2280,27.10%,7,INDIVIDUAL,20966,3,2995,0,27834,20966,7400,19434
12000,12000, 60 months,13.49%,276.06,C,C2,A/R Specialist,10+ years,MORTGAGE,80000,Source Verified,Issued,debt_consolidation,Debt consolidation,925xx,CA,26.77,13,96068,86%,49,INDIVIDUAL,455407,2,35031,0,560969,178570,7600,96318
16000,16000, 36 months,11.44%,527.16,B,B4,A/R Specialist,2 years,RENT,58000,Not Verified,Issued,debt_consolidation,Debt consolidation,322xx,FL,14.05,6,10764,55.20%,13,INDIVIDUAL,12845,3,2141,0,38679,12845,12000,19179
3000,3000, 36 months,12.74%,100.71,C,C1,A/R Specialist,10+ years,MORTGAGE,69500,Source Verified,Issued,debt_consolidation,Debt consolidation,210xx,MD,11.26,11,18427,58.30%,18,INDIVIDUAL,18540,5,1685,0,35600,18540,11100,4000
20000,20000, 60 months,15.99%,486.26,C,C5,A/R Specialists,1 year,RENT,48000,Source Verified,Issued,house,Home buying,160xx,PA,22.98,9,32819,75.80%,15,INDIVIDUAL,38893,1,4862,0,58808,38893,37400,15508
20000,20000, 36 months,11.44%,658.95,B,B4,A/R Supervisor,10+ years,MORTGAGE,143000,Not Verified,Issued,home_improvement,Home improvement,070xx,NJ,25.31,10,177463,76.80%,22,INDIVIDUAL,375833,4,37583,0,444257,230677,18700,55000
15000,15000, 36 months,11.39%,493.86,B,B3,A/V Supervisor ,< 1 year,MORTGAGE,64000,Not Verified,Issued,credit_card,Credit card refinancing,958xx,CA,21.6,14,13310,38.20%,17,INDIVIDUAL,159284,9,11377,0,187142,44920,21000,33972
6000,6000, 36 months,12.74%,201.42,C,C1,A16 auto tech ,10+ years,RENT,63000,Source Verified,Issued,debt_consolidation,Debt consolidation,900xx,CA,21.71,13,11809,53%,18,INDIVIDUAL,54107,3,4162,0,78465,54107,12400,56165
25000,25000, 60 months,10.49%,537.23,B,B2,AA,10+ years,RENT,101250,Source Verified,Issued,debt_consolidation,Debt consolidation,913xx,CA,22.38,13,33473,66.90%,31,INDIVIDUAL,153527,1,12794,0,224297,153527,48800,174297
6000,6000, 36 months,11.44%,197.69,B,B4,AA,1 year,MORTGAGE,80000,Not Verified,Issued,home_improvement,Home improvement,775xx,TX,3.44,7,3613,24.70%,8,INDIVIDUAL,259845,1,37121,0,272086,9337,14000,6625
11500,11500, 36 months,8.24%,361.65,B,B1,AA forman,10+ years,MORTGAGE,97000,Source Verified,Issued,credit_card,Credit card refinancing,435xx,OH,15.29,10,90281,65%,33,INDIVIDUAL,90281,3,9028,0,98700,90281,10900,0
10000,10000, 60 months,11.49%,219.88,B,B5,ab support specialist,n/a,RENT,38000,Verified,Issued,vacation,Vacation,480xx,MI,13.14,7,12845,31%,12,INDIVIDUAL,20321,1,2903,0,51872,20321,21400,10472
8475,8475, 36 months,11.39%,279.03,B,B3,ABA Teacher Aide,1 year,RENT,45000,Source Verified,Issued,debt_consolidation,Debt consolidation,907xx,CA,24.64,16,5951,34.60%,28,INDIVIDUAL,27118,5,1808,0,46767,27118,6500,29567
24000,24000, 60 months,15.99%,583.51,C,C5,ABA Therapist,4 years,MORTGAGE,72000,Not Verified,Issued,debt_consolidation,Debt consolidation,320xx,FL,17.82,4,14436,98.90%,11,INDIVIDUAL,235048,0,58762,0,290224,26226,14600,36624
24000,24000, 36 months,15.99%,843.66,C,C5,ABAP programmer,2 years,RENT,70000,Source Verified,Issued,debt_consolidation,Debt consolidation,815xx,CO,18.84,19,15706,60.40%,25,INDIVIDUAL,29763,4,1566,0,71247,29763,16100,45247
15725,15725, 36 months,14.99%,545.04,C,C4,ABH,3 years,RENT,85000,Not Verified,Issued,debt_consolidation,Debt consolidation,809xx,CO,22.76,16,7334,35%,46,INDIVIDUAL,75328,10,5021,0,94550,75328,7000,73490
3075,3075, 36 months,13.99%,105.09,C,C3,Able Bodied Seaman,7 years,RENT,60000,Source Verified,Issued,credit_card,Credit card refinancing,450xx,OH,11.46,5,1003,77.20%,9,INDIVIDUAL,18266,5,3653,0,24569,18266,800,23269
6500,6500, 36 months,17.99%,234.96,D,D2,ABLE BODIED SEAMAN,10+ years,MORTGAGE,84000,Not Verified,Issued,credit_card,Credit card refinancing,765xx,TX,18.86,12,8252,25.80%,14,INDIVIDUAL,81047,5,6754,0,173347,42476,28000,49472
10000,10000, 36 months,14.99%,346.61,C,C4,Able Bodied Seaman,10+ years,RENT,29000,Not Verified,Issued,credit_card,Credit card refinancing,724xx,AR,22.89,11,11008,56.70%,18,INDIVIDUAL,23706,2,2155,0,33895,23706,13100,14495
10400,10400, 60 months,15.99%,252.86,C,C5,Able Bodied Seamen ,2 years,RENT,20000,Verified,Issued,debt_consolidation,Debt consolidation,321xx,FL,56.24,8,4866,62.40%,10,JOINT,28168,5,3521,0,46350,28168,5200,38550
28000,28000, 36 months,10.49%,909.94,B,B2,able seaman,7 years,MORTGAGE,210000,Verified,Issued,credit_card,Credit card refinancing,100xx,NY,14.76,13,37378,24.40%,29,INDIVIDUAL,79972,2,6664,0,147838,79972,73800,26000
18000,18000, 60 months,15.99%,437.63,C,C5,Able Seaman,n/a,MORTGAGE,34000,Verified,Issued,debt_consolidation,Debt consolidation,894xx,NV,50.41,17,20697,57.50%,35,JOINT,40839,10,2723,0,58284,40839,13700,22284
12000,12000, 36 months,6.99%,370.48,A,A2,Abstract Coder,1 year,RENT,180000,Not Verified,Issued,credit_card,Credit card refinancing,112xx,NY,11.68,8,16405,57.60%,11,INDIVIDUAL,40412,3,5052,0,77803,40412,26300,42935
19600,19600, 60 months,10.49%,421.19,B,B2,Abstractor,10+ years,MORTGAGE,130000,Not Verified,Issued,other,Other,334xx,FL,11.63,11,15520,33.70%,31,INDIVIDUAL,366355,9,33305,0,410393,68863,33400,63705
14000,14000, 36 months,5.32%,421.61,A,A1,Abstractor medical info,1 year,MORTGAGE,90000,Not Verified,Issued,debt_consolidation,Debt consolidation,337xx,FL,15.93,10,5802,18.50%,25,INDIVIDUAL,186297,4,20700,0,236709,35222,31400,44759
40000,40000, 60 months,11.44%,878.5,B,B4,AC Installer,10+ years,MORTGAGE,150000,Verified,Issued,debt_consolidation,Debt consolidation,088xx,NJ,9.83,11,6551,24.80%,29,INDIVIDUAL,519953,5,51995,0,656598,37236,25400,46000
35000,35000, 36 months,11.44%,1153.17,B,B4,Ac installer,2 years,MORTGAGE,380000,Verified,Issued,debt_consolidation,Debt consolidation,926xx,CA,16.96,16,97909,42.50%,25,INDIVIDUAL,934954,5,58435,0,1089944,143935,153200,118694
7000,7000, 36 months,13.49%,237.52,C,C2,ac1,9 years,RENT,45000,Source Verified,Issued,credit_card,Credit card refinancing,955xx,CA,15.07,11,8011,31.30%,13,INDIVIDUAL,16355,8,1487,0,40542,16355,21200,14942
35000,35000, 60 months,18.99%,907.73,D,D3,ACA Compliance Analyst,10+ years,MORTGAGE,100000,Verified,Issued,debt_consolidation,Debt consolidation,151xx,PA,26.01,16,26089,85.80%,36,JOINT,245693,6,16380,0,277693,99575,11700,100265
9000,9000, 36 months,12.74%,302.12,C,C1,Academic Admin,1 year,RENT,50000,Verified,Issued,debt_consolidation,Debt consolidation,802xx,CO,16.54,11,13806,65.70%,13,INDIVIDUAL,17299,4,1730,0,29000,17299,16800,8000
15000,15000, 60 months,13.49%,345.08,C,C2,Academic Administrator,10+ years,RENT,80000,Not Verified,Issued,debt_consolidation,Debt consolidation,402xx,KY,14.85,11,6780,17.50%,28,INDIVIDUAL,36237,5,3294,0,77337,36237,35100,38537
30200,30200, 60 months,15.99%,734.25,C,C5,Academic Advising Supervisor,1 year,MORTGAGE,195000,Source Verified,Issued,credit_card,Credit card refinancing,242xx,VA,28.35,25,268398,67.90%,53,INDIVIDUAL,570150,9,22806,0,814278,429185,87000,189678
19500,19500, 36 months,13.99%,666.37,C,C3,Academic Advisor,10+ years,RENT,80000,Verified,Issued,debt_consolidation,Debt consolidation,841xx,UT,10.07,9,12298,49.20%,24,INDIVIDUAL,20120,3,3353,0,35600,20120,15000,10600
8000,8000, 36 months,11.39%,263.39,B,B3,Academic Advisor,10+ years,MORTGAGE,26500,Not Verified,Issued,debt_consolidation,Debt consolidation,243xx,VA,29.08,14,25522,64.30%,20,INDIVIDUAL,90081,2,6929,0,134700,25522,26800,0
18000,18000, 60 months,11.49%,395.78,B,B5,Academic Advisor,10+ years,MORTGAGE,83000,Verified,Issued,debt_consolidation,Debt consolidation,467xx,IN,14.71,8,14920,74%,18,INDIVIDUAL,141772,4,17721,0,177812,28358,15700,20562
10500,10500, 60 months,13.99%,244.27,C,C3,Academic Advisor,10+ years,MORTGAGE,55000,Not Verified,Issued,credit_card,Credit card refinancing,542xx,WI,16.89,13,33581,77.20%,22,INDIVIDUAL,154695,2,11900,0,206614,41039,12300,12665
12000,12000, 36 months,18.99%,439.82,D,D3,Academic Advisor,5 years,MORTGAGE,100000,Source Verified,Issued,credit_card,Credit card refinancing,660xx,KS,17.48,10,12652,64.60%,19,INDIVIDUAL,202778,9,20278,0,216064,60074,15400,53760
5000,5000, 36 months,8.24%,157.24,B,B1,Academic Advisor,9 years,MORTGAGE,135000,Not Verified,Issued,home_improvement,Home improvement,190xx,PA,11.81,9,4935,47.10%,24,INDIVIDUAL,21721,6,2413,0,37256,21721,6500,26456
15000,15000, 36 months,11.49%,494.57,B,B5,academic advisor,1 year,OWN,54000,Source Verified,Issued,debt_consolidation,Debt consolidation,153xx,PA,14.67,8,16736,75.70%,10,INDIVIDUAL,25850,6,3231,0,33829,25850,21100,11729
6000,6000, 36 months,13.49%,203.59,C,C2,Academic Advisor,3 years,MORTGAGE,97500,Not Verified,Issued,debt_consolidation,Debt consolidation,917xx,CA,13.83,6,5321,96.70%,12,INDIVIDUAL,342465,3,57078,0,383818,23670,5500,47776
6000,6000, 36 months,11.44%,197.69,B,B4,Academic Advisor,8 years,RENT,52200,Source Verified,Issued,credit_card,Credit card refinancing,321xx,FL,17.77,11,11541,55%,15,INDIVIDUAL,54555,10,4960,0,67566,54555,8500,46566
20000,20000, 60 months,12.74%,452.41,C,C1,Academic Advisor,3 years,RENT,60000,Source Verified,Issued,credit_card,Credit card refinancing,921xx,CA,16.92,7,20624,62.50%,23,INDIVIDUAL,25974,4,3711,0,40950,25974,21500,7950
8500,8500, 36 months,13.99%,290.47,C,C3,Academic Advisor,6 years,MORTGAGE,110000,Source Verified,Issued,house,Home buying,300xx,GA,9.84,9,4928,58%,16,INDIVIDUAL,177159,2,19684,0,223695,41040,8500,58463
32000,32000, 36 months,10.49%,1039.93,B,B2,Academic Advisor,6 years,RENT,130000,Verified,Issued,home_improvement,Home improvement,085xx,NJ,15.57,10,34328,39.70%,12,INDIVIDUAL,73582,4,7358,0,198400,73582,86400,112000
20000,20000, 36 months,11.49%,659.43,B,B5,Academic Advisor,1 year,RENT,68000,Source Verified,Issued,other,Other,852xx,AZ,12.27,5,17171,74.70%,11,INDIVIDUAL,24968,2,4994,0,33763,24968,15000,10763
26075,26075, 60 months,13.49%,599.85,C,C2,Academic advisor ,4 years,MORTGAGE,135000,Source Verified,Issued,debt_consolidation,Debt consolidation,320xx,FL,19.08,5,4029,89.50%,26,INDIVIDUAL,183007,2,36601,0,193485,183007,4500,188985
5000,5000, 36 months,8.24%,157.24,B,B1,Academic Affairs,10+ years,OWN,32000,Source Verified,Issued,other,Other,458xx,OH,19.84,8,6727,34.50%,15,INDIVIDUAL,128670,1,16084,0,157221,28939,18500,27710
5000,5000, 36 months,8.24%,157.24,B,B1,Academic and College Dean,10+ years,RENT,44000,Not Verified,Issued,debt_consolidation,Debt consolidation,908xx,CA,14.89,9,7742,36%,13,INDIVIDUAL,18543,2,2060,0,34574,18543,13100,13074
12000,12000, 60 months,13.99%,279.16,C,C3,Academic Counselor,7 years,RENT,162000,Not Verified,Issued,debt_consolidation,Debt consolidation,080xx,NJ,6.13,11,13215,73%,13,INDIVIDUAL,27070,2,2461,0,37023,27070,8200,18923
3000,3000, 36 months,14.99%,103.99,C,C4,Academic Counselor,10+ years,MORTGAGE,202000,Source Verified,Issued,home_improvement,Home improvement,210xx,MD,21,15,67465,98.50%,21,INDIVIDUAL,517268,4,39790,0,539036,147114,67500,99236
32000,32000, 36 months,6.99%,987.93,A,A2,Academic Counselor,7 years,RENT,195000,Verified,Issued,small_business,Business,077xx,NJ,6.58,12,12143,22.30%,26,INDIVIDUAL,29465,3,2679,0,81900,29465,43800,27500
24500,24500, 60 months,11.44%,538.09,B,B4,Academic Counselor,< 1 year,MORTGAGE,63000,Not Verified,Issued,credit_card,Credit card refinancing,718xx,AR,17.83,12,8390,13.90%,29,JOINT,81456,4,6788,0,144753,31028,51200,27853
20000,20000, 36 months,11.49%,659.43,B,B5,Academic Custodian ,n/a,MORTGAGE,61992,Source Verified,Issued,debt_consolidation,Debt consolidation,481xx,MI,14.61,10,16066,55%,12,INDIVIDUAL,96192,5,9619,0,127811,30562,28000,16084
32000,32000, 36 months,8.24%,1006.32,B,B1,Academic Dean,10+ years,MORTGAGE,75000,Verified,Issued,debt_consolidation,Debt consolidation,786xx,TX,36.19,8,22509,45.70%,14,JOINT,415738,3,51967,0,478555,62359,49300,70087
18000,18000, 36 months,5.32%,542.07,A,A1,Academic Dean,< 1 year,RENT,155000,Verified,Current,debt_consolidation,Debt consolidation,941xx,CA,9.08,13,16999,41.70%,19,INDIVIDUAL,61257,2,5569,0,110012,61257,29600,59680
30800,30800, 60 months,13.99%,716.51,C,C3,Academic Performance Manager,n/a,OWN,70000,Verified,Issued,home_improvement,Home improvement,206xx,MD,6.72,16,9295,47.20%,28,INDIVIDUAL,242133,2,20178,0,277230,9295,3400,0
25000,25000, 60 months,25.49%,740.99,E,E4,Academic Professional,10+ years,MORTGAGE,78000,Verified,Issued,debt_consolidation,Debt consolidation,300xx,GA,21.69,11,5246,47%,18,INDIVIDUAL,181856,10,16532,0,194276,50133,6300,49147
4200,4200, 36 months,7.24%,130.15,A,A3,Academic Professional,n/a,RENT,16006,Source Verified,Issued,debt_consolidation,Debt consolidation,060xx,CT,16.43,7,4560,24.40%,13,INDIVIDUAL,4560,1,651,0,18700,4560,17500,0
5600,5600, 36 months,7.99%,175.46,A,A5,Academic Program Adminstrator,3 years,MORTGAGE,80000,Source Verified,Issued,other,Other,207xx,MD,10.07,14,2628,58.40%,34,INDIVIDUAL,68037,2,4860,0,58512,68037,4500,54012
33000,33000, 36 months,13.49%,1119.71,C,C2,Academic Program Director,10+ years,MORTGAGE,169000,Verified,Issued,debt_consolidation,Debt consolidation,384xx,TN,12.18,14,11713,56.30%,21,INDIVIDUAL,374382,8,26742,0,448077,53592,18300,80420
39800,39800, 36 months,11.39%,1310.37,B,B3,Academic Programs Manager,8 years,MORTGAGE,150000,Verified,Issued,debt_consolidation,Debt consolidation,366xx,AL,22.62,13,25345,76.80%,31,INDIVIDUAL,533192,5,41015,0,593428,144385,15300,164428
15000,15000, 60 months,11.49%,329.82,B,B5,Academic Technologist,2 years,MORTGAGE,57614,Not Verified,Issued,debt_consolidation,Debt consolidation,351xx,AL,17.64,10,7335,28.50%,17,INDIVIDUAL,144823,5,14482,0,176542,44051,21200,45842
3000,3000, 36 months,5.32%,90.35,A,A1,Academy Director/Head Coach,7 years,RENT,95377,Verified,Issued,credit_card,Credit card refinancing,921xx,CA,4.14,17,17804,23.10%,29,INDIVIDUAL,17804,13,1047,0,77100,17804,74100,0
7000,7000, 36 months,11.44%,230.64,B,B4,ACCCOUNTS PAYABLE SPEC.,10+ years,RENT,34800,Verified,Issued,debt_consolidation,Debt consolidation,322xx,FL,25.52,6,8193,92.10%,8,INDIVIDUAL,18662,2,3110,0,27064,18662,8900,18164
6000,6000, 36 months,11.49%,197.83,B,B5,Accelerated Deli/ Bakery Clerk,2 years,MORTGAGE,70000,Source Verified,Issued,debt_consolidation,Debt consolidation,826xx,WY,11.3,11,3733,48.50%,12,INDIVIDUAL,194590,4,17690,0,217996,18917,4000,33529
16700,16700, 60 months,14.99%,397.21,C,C4,Accelerator Support Leader,10+ years,MORTGAGE,79250,Source Verified,Issued,debt_consolidation,Debt consolidation,142xx,NY,17.75,12,14095,30.10%,37,INDIVIDUAL,99225,5,8269,0,121307,99225,37800,74507
18000,18000, 36 months,6.99%,555.71,A,A2,Accelerator Technologist,10+ years,MORTGAGE,150000,Not Verified,Issued,other,Other,970xx,OR,9.08,11,6422,15.50%,20,INDIVIDUAL,269780,3,24525,0,324870,26287,36200,39270
8850,8850, 36 months,14.99%,306.75,C,C4,Access & Reimbursement Director,n/a,RENT,54000,Verified,Issued,debt_consolidation,Debt consolidation,535xx,WI,19.82,20,9439,19.30%,33,INDIVIDUAL,38320,8,2129,0,85119,38320,39900,36119
30000,30000, 60 months,13.99%,697.9,C,C3,Access Atendant,n/a,OWN,65000,Verified,Issued,debt_consolidation,Debt consolidation,077xx,NJ,33.94,10,40428,28.50%,20,INDIVIDUAL,63494,1,6349,0,181824,63494,141700,40124
32000,32000, 36 months,7.99%,1002.62,A,A5,access service rep ,5 years,OWN,155999,Verified,Issued,major_purchase,Major purchase,070xx,NJ,9.29,9,26550,49.20%,19,INDIVIDUAL,517721,6,57525,0,573434,57187,27000,46934
25000,25000, 36 months,12.74%,839.23,C,C1,Access Services,10+ years,MORTGAGE,55000,Verified,Issued,debt_consolidation,Debt consolidation,300xx,GA,17.83,9,14730,85.10%,16,INDIVIDUAL,114736,1,12748,0,143188,27071,16300,0
5400,5400, 36 months,11.49%,178.05,B,B5,Access Services Desk Coordinator,< 1 year,RENT,17000,Not Verified,Issued,credit_card,Credit card refinancing,282xx,NC,14.76,4,3830,36.50%,7,INDIVIDUAL,10120,1,2530,0,19500,10120,10500,9000
35000,35000, 60 months,14.99%,832.47,C,C4,Access Services Librarian,9 years,RENT,155000,Verified,Issued,debt_consolidation,Debt consolidation,330xx,FL,12.89,12,14776,61.60%,24,INDIVIDUAL,46604,14,3884,0,73682,46604,16200,49682
30000,30000, 36 months,8.24%,943.42,B,B1,Accessorials Manager,4 years,RENT,121858,Source Verified,Issued,credit_card,Credit card refinancing,109xx,NY,27.92,25,41475,33.70%,43,INDIVIDUAL,126156,11,5734,0,241209,126156,87000,132909
12000,12000, 36 months,13.49%,407.17,C,C2,Accident Investigator,10+ years,MORTGAGE,73000,Not Verified,Issued,debt_consolidation,Debt consolidation,837xx,ID,22.77,13,11051,85.70%,24,INDIVIDUAL,253247,3,21104,0,296558,46387,6700,61563
4500,4500, 36 months,11.44%,148.27,B,B4,Accounant,1 year,RENT,52000,Not Verified,Issued,debt_consolidation,Debt consolidation,490xx,MI,8.38,9,4331,84.90%,9,INDIVIDUAL,33276,4,3697,0,38115,33276,3800,33015
2000,2000, 36 months,8.24%,62.9,B,B1,Accounring Assistant,< 1 year,MORTGAGE,85816,Source Verified,Issued,moving,Moving and relocation,551xx,MN,23.28,10,36969,98.80%,25,INDIVIDUAL,231975,4,23198,0,257598,78393,23100,57382
9600,9600, 36 months,6.99%,296.38,A,A2,Account ,7 years,MORTGAGE,80000,Not Verified,Issued,debt_consolidation,Debt consolidation,378xx,TN,7.58,7,6354,49.60%,14,INDIVIDUAL,169746,3,24249,0,188663,13542,8000,13863
8000,8000, 36 months,5.32%,240.92,A,A1,Account Administration Specialist,10+ years,RENT,60000,Not Verified,Issued,debt_consolidation,Debt consolidation,921xx,CA,16.36,11,4057,13.10%,19,INDIVIDUAL,26457,5,2405,0,65553,26457,18500,34653
25000,25000, 60 months,29.99%,808.69,F,F3,ACCOUNT ADMINISTRATIVE/CUSTOMER SERVICE,10+ years,RENT,66560,Source Verified,Issued,debt_consolidation,Debt consolidation,950xx,CA,26,10,10578,70.50%,18,INDIVIDUAL,36955,4,3696,0,55597,36955,4300,40597
5000,5000, 36 months,11.39%,164.62,B,B3,ACCOUNT ADMINISTRATOR,4 years,MORTGAGE,50000,Source Verified,Issued,debt_consolidation,Debt consolidation,054xx,VT,5.78,4,3166,63.30%,13,INDIVIDUAL,7540,1,2513,0,11500,7540,4000,6500
11000,11000, 60 months,14.99%,261.64,C,C4,Account Administrator,n/a,RENT,55000,Source Verified,Issued,debt_consolidation,Debt consolidation,339xx,FL,16.09,6,11830,52.80%,11,INDIVIDUAL,64611,3,10769,0,77399,64611,22400,54999
6000,6000, 36 months,11.49%,197.83,B,B5,Account Advisor II,n/a,MORTGAGE,35000,Verified,Issued,debt_consolidation,Debt consolidation,857xx,AZ,25.79,5,669,95.60%,25,JOINT,121454,6,24291,0,126656,12967,300,13456
6000,6000, 36 months,11.49%,197.83,B,B5,Account Analyst,6 years,OWN,32000,Source Verified,Issued,debt_consolidation,Debt consolidation,142xx,NY,15.64,9,5478,40.90%,13,INDIVIDUAL,87229,1,9692,0,75213,87229,3000,61813
4000,4000, 36 months,11.49%,131.89,B,B5,Account Analyst,10+ years,RENT,45000,Source Verified,Issued,debt_consolidation,Debt consolidation,339xx,FL,26.99,15,1501,9.70%,38,INDIVIDUAL,25038,13,1788,0,50756,25038,5500,35256
8000,8000, 36 months,15.99%,281.22,C,C5,Account analyst,3 years,RENT,37000,Source Verified,Issued,other,Other,850xx,AZ,22.58,4,19756,100%,9,INDIVIDUAL,32168,1,8042,0,35874,32168,19700,16174
4000,4000, 36 months,18.99%,146.61,D,D3,Account Analyst ,2 years,RENT,68000,Source Verified,Issued,debt_consolidation,Debt consolidation,197xx,DE,14.88,19,2560,20.50%,20,INDIVIDUAL,59268,11,3293,0,73564,59268,12500,61064
5000,5000, 36 months,6.99%,154.37,A,A2,Account Assistant,3 years,MORTGAGE,118000,Not Verified,Issued,other,Other,986xx,WA,14.73,15,4971,15.70%,33,INDIVIDUAL,583517,8,38901,0,632572,90924,29600,107715
18000,18000, 36 months,5.32%,542.07,A,A1,Account Assistant,8 years,MORTGAGE,95000,Not Verified,Issued,car,Car financing,132xx,NY,11.13,8,12583,59.90%,22,INDIVIDUAL,86794,1,10849,0,146600,16029,13900,15600
24000,24000, 36 months,11.49%,791.32,B,B5,Account audit clerk ,1 year,RENT,75000,Not Verified,Issued,credit_card,Credit card refinancing,100xx,NY,23.65,25,30319,91.30%,39,INDIVIDUAL,90355,2,3765,0,128519,90355,30200,95319
3000,3000, 36 months,8.24%,94.35,B,B1,Account Claims Representative II,2 years,RENT,20000,Source Verified,Issued,credit_card,Credit card refinancing,930xx,CA,11.76,8,8528,47.90%,13,INDIVIDUAL,8528,2,1218,0,17800,8528,8800,0
5400,5400, 36 months,25.49%,216.11,E,E4,Account Clerk,n/a,MORTGAGE,18000,Verified,Issued,debt_consolidation,Debt consolidation,029xx,RI,32.53,12,17635,40%,23,INDIVIDUAL,18509,6,1682,0,45600,18509,39600,2000
6400,6400, 36 months,11.49%,211.02,B,B5,Account CLerk,2 years,OWN,102000,Source Verified,Issued,other,Other,082xx,NJ,9.78,14,10001,21.40%,18,INDIVIDUAL,15028,7,1073,0,61643,15028,39900,14943
20000,20000, 60 months,16.99%,496.95,D,D1,Account Clerk 2,n/a,OWN,46296,Verified,Issued,credit_card,Credit card refinancing,303xx,GA,11.9,4,18619,81.70%,15,INDIVIDUAL,18619,0,4655,0,22800,18619,22800,0
